request_id,status,latency_ms,tokens,response_size,success,error
0,200,28926.34,50,418,True,
1,200,9151.86,50,443,True,
2,200,3527.98,50,430,True,
3,200,13244.89,50,430,True,
4,200,23625.42,50,435,True,
5,200,4561.67,50,443,True,
6,200,11692.61,50,426,True,
7,200,8650.46,50,416,True,
8,200,15311.4,50,426,True,
9,200,11180.29,50,439,True,
10,200,16866.92,50,457,True,
11,200,26783.07,50,437,True,
12,200,19970.53,50,425,True,
13,200,27302.83,50,453,True,
14,200,28354.0,50,397,True,
15,200,6094.61,50,420,True,
16,200,10671.18,50,440,True,
17,200,14796.25,50,410,True,
18,200,14277.99,50,438,True,
19,200,21519.1,50,437,True,
20,200,21004.08,50,440,True,
21,200,18417.46,50,415,True,
22,200,23113.2,50,429,True,
23,200,13761.12,50,454,True,
24,200,20485.86,50,394,True,
25,200,16348.43,50,419,True,
26,200,22063.18,50,423,True,
27,200,27817.23,50,431,True,
28,200,7631.87,50,422,True,
29,200,15829.28,50,412,True,
30,200,24165.43,50,416,True,
31,200,5073.61,50,454,True,
32,200,8140.24,50,435,True,
33,200,17381.3,50,441,True,
34,200,24679.52,50,427,True,
35,200,4052.64,50,443,True,
36,200,9660.61,50,412,True,
37,200,17900.97,50,416,True,
38,200,25745.26,50,441,True,
39,200,5579.42,50,455,True,
40,200,10165.79,50,443,True,
41,200,18930.5,50,428,True,
42,200,25223.79,50,395,True,
43,200,6609.49,50,433,True,
44,200,12203.75,50,409,True,
45,200,19451.24,50,444,True,
46,200,26268.22,50,422,True,
47,200,7118.87,50,449,True,
48,200,12726.53,50,435,True,
49,200,22586.08,50,461,True,
50,200,25951.15,50,443,True,
51,200,25992.09,50,446,True,
52,200,26040.09,50,441,True,
53,200,26094.52,50,441,True,
54,200,26149.18,50,395,True,
55,200,26195.97,50,452,True,
56,200,26245.12,50,442,True,
57,200,26293.72,50,430,True,
58,200,26346.87,50,436,True,
59,200,26400.33,50,440,True,
60,200,26454.66,50,430,True,
61,200,26515.87,50,421,True,
62,200,26570.05,50,428,True,
63,200,26632.06,50,455,True,
64,200,26689.42,50,409,True,
65,200,26748.86,50,440,True,
66,200,26800.14,50,439,True,
67,200,26852.01,50,419,True,
68,200,26891.73,50,432,True,
69,200,26943.08,50,428,True,
70,200,26990.49,50,448,True,
71,200,27044.5,50,460,True,
72,200,27091.08,50,433,True,
73,200,27160.52,50,453,True,
74,200,27209.76,50,421,True,
75,200,27267.55,50,438,True,
76,200,27318.15,50,409,True,
77,200,27382.87,50,456,True,
78,200,27427.95,50,435,True,
79,200,27488.84,50,435,True,
80,200,27539.33,50,434,True,
81,200,27596.83,50,452,True,
82,200,27645.6,50,449,True,
