request_id,status,latency_ms,tokens,response_size,success,error
0,200,134650.46,50,436,True,
1,200,43285.15,50,440,True,
2,200,11490.62,50,440,True,
3,200,51908.92,50,429,True,
4,200,120485.65,50,444,True,
5,200,31519.47,50,419,True,
6,200,89147.85,50,432,True,
7,200,40101.6,50,463,True,
8,200,63317.51,50,447,True,
9,200,20019.14,50,416,True,
10,200,49067.43,50,433,True,
11,200,131777.17,50,450,True,
12,200,91984.68,50,433,True,
13,200,128942.73,50,433,True,
14,200,137476.78,50,450,True,
15,200,5804.22,50,431,True,
16,200,109044.48,50,419,True,
17,200,126100.95,50,434,True,
18,200,54739.59,50,420,True,
19,200,100507.48,50,437,True,
20,200,94846.68,50,457,True,
21,200,71878.2,50,467,True,
22,200,86145.1,50,391,True,
23,200,46200.7,50,444,True,
24,200,80394.39,50,438,True,
25,200,66165.48,50,448,True,
26,200,97688.65,50,421,True,
27,200,17145.81,50,474,True,
28,200,57609.74,50,436,True,
29,200,103304.75,50,422,True,
30,200,143151.54,50,422,True,
31,200,22870.73,50,402,True,
32,200,60476.08,50,441,True,
33,200,111957.16,50,440,True,
34,200,14328.42,50,435,True,
35,200,25874.82,50,418,True,
36,200,68995.66,50,409,True,
37,200,106171.92,50,419,True,
38,200,140303.98,50,413,True,
39,200,34327.25,50,414,True,
40,200,74707.47,50,452,True,
41,200,114810.72,50,403,True,
42,200,8642.14,50,466,True,
43,200,28701.41,50,414,True,
44,200,77555.98,50,448,True,
45,200,117654.72,50,435,True,
46,200,2988.16,50,422,True,
47,200,37250.11,50,449,True,
48,200,83262.92,50,451,True,
49,200,123303.55,50,429,True,
