request_id,status,worker_id,latency_ms,tokens,error,reassigned,timestamp
157,success,worker-2,769.17,20,,False,2026-05-07T13:28:51.151579
158,success,worker-3,768.92,20,,False,2026-05-07T13:28:51.342904
159,success,worker-4,768.11,20,,False,2026-05-07T13:28:51.535340
160,success,worker-1,766.65,20,,False,2026-05-07T13:28:51.726524
161,success,worker-2,767.18,20,,False,2026-05-07T13:28:51.919352
162,success,worker-3,767.55,20,,False,2026-05-07T13:28:52.111011
163,success,worker-3,769.35,20,,False,2026-05-07T13:29:03.882339
164,success,worker-4,770.62,20,,False,2026-05-07T13:29:04.076081
165,success,worker-2,766.75,20,,False,2026-05-07T13:28:52.303691
166,success,worker-3,771.5,20,,False,2026-05-07T13:28:52.498465
167,success,worker-4,770.91,20,,False,2026-05-07T13:28:52.690885
168,success,worker-1,773.98,20,,False,2026-05-07T13:28:52.885420
169,success,worker-2,774.21,20,,False,2026-05-07T13:28:53.078375
170,success,worker-3,772.1,20,,False,2026-05-07T13:28:53.271104
171,success,worker-1,775.8,20,,False,2026-05-07T13:29:04.273099
172,success,worker-1,772.39,20,,False,2026-05-07T13:28:53.464193
173,success,worker-2,772.93,20,,False,2026-05-07T13:28:53.659345
174,success,worker-2,779.31,20,,False,2026-05-07T13:29:04.470166
175,success,worker-4,772.55,20,,False,2026-05-07T13:28:53.852386
176,success,worker-1,773.61,20,,False,2026-05-07T13:28:54.045546
177,success,worker-2,773.46,20,,False,2026-05-07T13:28:54.238160
178,success,worker-3,770.88,20,,False,2026-05-07T13:28:54.430557
179,success,worker-4,770.87,20,,False,2026-05-07T13:28:54.623685
180,success,worker-3,779.92,20,,False,2026-05-07T13:29:04.662909
181,success,worker-2,769.8,20,,False,2026-05-07T13:28:54.816673
182,success,worker-3,770.9,20,,False,2026-05-07T13:28:55.009569
183,success,worker-4,964.77,20,,False,2026-05-07T13:28:55.397134
184,success,worker-4,779.2,20,,False,2026-05-07T13:29:04.855868
185,success,worker-2,579.41,20,,False,2026-05-07T13:28:55.204182
186,success,worker-3,771.07,20,,False,2026-05-07T13:28:55.588136
187,success,worker-1,778.89,20,,False,2026-05-07T13:29:05.055212
188,success,worker-1,769.72,20,,False,2026-05-07T13:28:55.780039
189,success,worker-2,770.42,20,,False,2026-05-07T13:28:55.974969
190,success,worker-2,780.31,20,,False,2026-05-07T13:29:05.251378
191,success,worker-4,769.67,20,,False,2026-05-07T13:28:56.167625
192,success,worker-1,769.81,20,,False,2026-05-07T13:28:56.358410
193,success,worker-2,769.09,20,,False,2026-05-07T13:28:56.549927
194,success,worker-3,767.26,20,,False,2026-05-07T13:28:56.742760
195,success,worker-4,766.53,20,,False,2026-05-07T13:28:56.934537
196,success,worker-3,780.86,20,,False,2026-05-07T13:29:05.444895
197,success,worker-2,771.97,20,,False,2026-05-07T13:28:57.131087
198,success,worker-3,772.67,20,,False,2026-05-07T13:28:57.323044
199,success,worker-4,781.12,20,,False,2026-05-07T13:29:05.637574
