timestamp,run_id,event_type,request_id,latency_ms,tokens,worker_id,routing_strategy,success,error,use_rag,gpu_util
2026-05-09T21:56:43.760725,20260509_215122_concurrent_1000_rag,inference,131,410.07,10,worker-3,load_aware,True,,True,88
2026-05-09T21:56:43.760732,20260509_215122_concurrent_1000_rag,inference,132,650.25,10,worker-2,load_aware,True,,True,88
2026-05-09T21:56:43.760739,20260509_215122_concurrent_1000_rag,inference,133,410.37,10,worker-1,load_aware,True,,True,88
2026-05-09T21:56:43.760746,20260509_215122_concurrent_1000_rag,inference,134,564.67,10,worker-3,load_aware,True,,True,90
2026-05-09T21:56:43.760753,20260509_215122_concurrent_1000_rag,inference,135,629.93,10,worker-2,load_aware,True,,True,90
2026-05-09T21:56:43.760760,20260509_215122_concurrent_1000_rag,inference,136,386.34,10,worker-1,load_aware,True,,True,90
2026-05-09T21:56:43.760772,20260509_215122_concurrent_1000_rag,inference,137,654.91,10,worker-4,load_aware,True,,True,94
2026-05-09T21:56:43.760781,20260509_215122_concurrent_1000_rag,inference,138,363.55,10,worker-3,load_aware,True,,True,90
2026-05-09T21:56:43.760788,20260509_215122_concurrent_1000_rag,inference,139,533.25,10,worker-2,load_aware,True,,True,94
2026-05-09T21:56:43.760795,20260509_215122_concurrent_1000_rag,inference,140,2305.02,10,worker-1,load_aware,True,,True,93
2026-05-09T21:56:43.760802,20260509_215122_concurrent_1000_rag,inference,141,528.22,10,worker-4,load_aware,True,,True,94
2026-05-09T21:56:43.760809,20260509_215122_concurrent_1000_rag,inference,142,263.9,10,worker-3,load_aware,True,,True,94
2026-05-09T21:56:43.760816,20260509_215122_concurrent_1000_rag,inference,143,531.07,10,worker-3,load_aware,True,,True,82
2026-05-09T21:56:43.760823,20260509_215122_concurrent_1000_rag,inference,144,264.98,10,worker-2,load_aware,True,,True,82
2026-05-09T21:56:43.760830,20260509_215122_concurrent_1000_rag,inference,145,540.0,10,worker-4,load_aware,True,,True,80
2026-05-09T21:56:43.760838,20260509_215122_concurrent_1000_rag,inference,146,270.06,10,worker-2,load_aware,True,,True,82
2026-05-09T21:56:43.760845,20260509_215122_concurrent_1000_rag,inference,147,544.37,10,worker-3,load_aware,True,,True,80
2026-05-09T21:56:43.760851,20260509_215122_concurrent_1000_rag,inference,148,269.36,10,worker-2,load_aware,True,,True,80
2026-05-09T21:56:43.760859,20260509_215122_concurrent_1000_rag,inference,149,538.14,10,worker-4,load_aware,True,,True,85
2026-05-09T21:56:43.760867,20260509_215122_concurrent_1000_rag,inference,150,271.26,10,worker-2,load_aware,True,,True,80
2026-05-09T21:56:43.760874,20260509_215122_concurrent_1000_rag,inference,151,529.62,10,worker-3,load_aware,True,,True,85
2026-05-09T21:56:43.760896,20260509_215122_concurrent_1000_rag,inference,152,266.8,10,worker-2,load_aware,True,,True,85
2026-05-09T21:56:43.760903,20260509_215122_concurrent_1000_rag,inference,153,642.23,10,worker-4,load_aware,True,,True,93
2026-05-09T21:56:43.760910,20260509_215122_concurrent_1000_rag,inference,154,262.02,10,worker-2,load_aware,True,,True,85
2026-05-09T21:56:43.760922,20260509_215122_concurrent_1000_rag,inference,155,655.9,10,worker-3,load_aware,True,,True,93
2026-05-09T21:56:43.760929,20260509_215122_concurrent_1000_rag,inference,156,388.64,10,worker-2,load_aware,True,,True,93
2026-05-09T21:56:43.760936,20260509_215122_concurrent_1000_rag,inference,157,659.43,10,worker-2,load_aware,True,,True,80
2026-05-09T21:56:43.760942,20260509_215122_concurrent_1000_rag,inference,158,409.49,10,worker-1,load_aware,True,,True,80
2026-05-09T21:56:43.760948,20260509_215122_concurrent_1000_rag,inference,159,737.6,10,worker-4,load_aware,True,,True,92
2026-05-09T21:56:43.760954,20260509_215122_concurrent_1000_rag,inference,160,425.44,10,worker-3,load_aware,True,,True,80
2026-05-09T21:56:43.760960,20260509_215122_concurrent_1000_rag,inference,161,733.03,10,worker-2,load_aware,True,,True,92
2026-05-09T21:56:43.760966,20260509_215122_concurrent_1000_rag,inference,162,443.57,10,worker-1,load_aware,True,,True,92
