timestamp,run_id,event_type,request_id,latency_ms,tokens,worker_id,routing_strategy,success,error
2026-05-09T21:58:51.866371,20260509_215122_fault_200,inference,198,1569.87,20,worker-1,load_aware,True,
2026-05-09T21:58:52.063309,20260509_215122_fault_200,inference,166,1567.79,20,worker-1,load_aware,True,
2026-05-09T21:58:52.064090,20260509_215122_fault_200,inference,195,0,0,unknown,load_aware,False,Simulated crash: worker-4
2026-05-09T21:58:52.259370,20260509_215122_fault_200,inference,169,1571.05,20,worker-1,load_aware,True,
2026-05-09T21:58:52.480246,20260509_215122_fault_200,inference,170,1590.54,20,worker-1,load_aware,True,
2026-05-09T21:58:52.677982,20260509_215122_fault_200,inference,171,1587.13,20,worker-1,load_aware,True,
2026-05-09T21:58:52.876707,20260509_215122_fault_200,inference,179,1332.21,20,worker-2,load_aware,True,
2026-05-09T21:58:53.073297,20260509_215122_fault_200,inference,189,1392.81,20,worker-4,load_aware,True,
2026-05-09T21:58:53.269352,20260509_215122_fault_200,inference,181,1528.63,20,worker-2,load_aware,True,
2026-05-09T21:58:53.466179,20260509_215122_fault_200,inference,194,1337.85,20,worker-4,load_aware,True,
2026-05-09T21:58:53.660567,20260509_215122_fault_200,inference,199,1332.93,20,worker-4,load_aware,True,
